rank	token	count	count_slr54	count_iriis
2565	साथी	1339	45	1294
2566	थियौं	1339	3	1336
2567	इजलासले	1339	1	1338
2572	संविधानमा	1335	22	1313
2574	त्यहाँको	1334	20	1314
2578	उसलाई	1331	65	1266
2579	सांसदहरुले	1327	0	1327
2585	कार्यालयबाट	1324	5	1319
2586	सिँचाइमन्त्री	1324	0	1324
2587	तहले	1324	0	1324
2590	गतेको	1320	7	1313
2593	करीब	1319	4	1315
2594	टिमले	1319	3	1316
2597	राष्ट्रपतिले	1316	6	1310
2599	बालबालिकाको	1314	8	1306
2600	देखिए	1314	8	1306
2604	देशभरका	1311	3	1308
2607	योसँगै	1310	0	1310
2609	एकको	1308	4	1304
2613	खेलबाट	1307	12	1295
2619	लगानीमा	1305	3	1302
2621	बढाइएको	1303	7	1296
2624	अनावश्यक	1299	10	1289
2625	चाहन्छु	1299	32	1267
2628	बी	1298	24	1274
2629	आयोजनाले	1298	3	1295
2632	मासु	1296	24	1272
2639	पूर्वप्रधानमन्त्री	1294	0	1294
2641	अभियोगमा	1292	8	1284
2643	भविष्यमा	1291	32	1259
2644	कानूनी	1290	4	1286
2646	आजदेखि	1289	0	1289
2648	बिरामीलाई	1288	3	1285
2649	अर्थतन्त्रमा	1287	4	1283
2651	महिनादेखि	1287	10	1277
2655	विद्यार्थीले	1285	1	1284
2656	किसानको	1285	0	1285
2657	बताएकी	1285	0	1285
2658	आपत्ति	1284	5	1279
2659	नेताहरूले	1283	15	1268
2666	पालिका	1278	0	1278
2668	पदार्थको	1277	17	1260
2670	सुवेदीले	1277	4	1273
2672	पक्षका	1275	2	1273
2676	स्रोतका	1273	8	1265
2677	वस्तुको	1272	26	1246
2678	कोठामा	1272	9	1263
2682	गठबन्धनमा	1271	3	1268
2683	असन्तुष्टि	1271	0	1271
2689	खेलाडीलाई	1269	4	1265
2693	प्राधिकरणको	1267	3	1264
2694	तपाईंको	1267	0	1267
2696	तामाङले	1266	2	1264
2699	समृद्धिको	1266	5	1261
2700	भएकोमा	1265	16	1249
2703	उम्मेदवारको	1265	0	1265
2704	घरबाट	1264	23	1241
2707	किनकि	1262	18	1244
2708	समझदारी	1262	4	1258
2709	मानिसलाई	1261	36	1225
2710	अभावमा	1259	22	1237
2713	अधिकारको	1258	22	1236
2714	गिरीले	1257	2	1255
2716	दूरी	1256	19	1237
2720	आदिवासी	1254	97	1157
2721	गोलको	1253	2	1251
2722	सुपर	1253	17	1236
2724	भीड	1253	6	1247
2725	सेमिफाइनलमा	1253	4	1249
2727	पक्षको	1252	12	1240
2733	काँग्रेसका	1250	0	1250
2735	दिशामा	1248	36	1212
2737	डिग्री	1246	79	1167
2738	बढीको	1244	3	1241
2740	सहकार्यमा	1244	5	1239
2742	सकिएपछि	1242	4	1238
2743	शिक्षाको	1241	36	1205
2745	अधिकारीको	1240	8	1232
2746	संसद्को	1240	3	1237
2750	उपाध्यक्षमा	1238	0	1238
2751	त्यसबाट	1237	31	1206
2753	लागी	1236	18	1218
2754	स्वास्थ्यकर्मी	1236	8	1228
2760	महाशाखाका	1233	0	1233
2761	लिगमा	1232	6	1226
2762	जग्गामा	1231	14	1217
2765	जनप्रतिनिधि	1228	0	1228
2768	सधैं	1227	13	1214
2771	जग्गाको	1226	5	1221
2775	विपक्षमा	1223	6	1217
2778	सञ्चालनका	1221	6	1215
2780	पावर	1220	15	1205
2784	निकायको	1219	5	1214
2785	ट्रम्पले	1219	0	1219
2789	नम्बरमा	1216	13	1203
2791	निजामती	1215	29	1186
2795	समाजवादीका	1214	0	1214
2799	संक्रमणबाट	1211	0	1211
2801	खालका	1210	22	1188
2803	जीवनको	1207	103	1104
2804	आशंका	1207	1	1206
2805	कोरोनाका	1207	0	1207
2806	सहितको	1206	10	1196
2809	रोजगारीका	1204	3	1201
2810	ट्रंक	1204	0	1204
2816	उठेको	1200	8	1192
2817	विमानस्थलको	1200	2	1198
2819	अंकले	1200	0	1200
2820	समाजका	1199	34	1165
2823	लगिएको	1198	3	1195
2824	भन्नु	1195	34	1161
2825	आयोजनाका	1195	2	1193
2829	नदिएको	1194	3	1191
2832	अदालतका	1191	0	1191
2834	गठबन्धनले	1190	4	1186
2835	काठमाडौंका	1189	0	1189
2840	ज्ञवालीले	1187	0	1187
2841	न्यौपानेले	1186	1	1185
2847	समुदायलाई	1184	10	1174
2859	कमजोरी	1179	5	1174
2863	प्रतिस्पर्धी	1179	2	1177
2865	पहिरोले	1178	1	1177
2866	रोजगारीमा	1178	1	1177
2870	विरुद्धको	1175	14	1161
2871	नारायणकाजी	1175	0	1175
2872	पशु	1174	19	1155
2875	प्रचण्डको	1173	5	1168
2882	राजश्व	1170	0	1170
2883	महासंघले	1170	0	1170
2884	गर्दछु	1169	63	1106
2886	धनी	1167	24	1143
2893	भ्रमणका	1164	8	1156
2895	निगरानी	1163	11	1152
2901	विस्तारै	1158	10	1148
2902	टोलीलाई	1158	6	1152
2911	सुरक्षाका	1155	10	1145
2916	गरिबी	1152	14	1138
2922	पुरुषको	1150	21	1129
2924	गर्छौं	1148	12	1136
2925	एकताको	1148	15	1133
2931	विदेशबाट	1146	4	1142
2932	अनुभूति	1144	20	1124
2936	राज्यका	1143	25	1118
2942	हौं	1141	7	1134
2947	बस्तीमा	1140	3	1137
2951	कमिटीको	1137	3	1134
2953	हाराहारीमा	1136	9	1127
2957	राष्ट्रको	1135	34	1101
2958	विवादमा	1135	18	1117
2962	स्थानीयको	1132	5	1127
2963	सदस्यता	1132	0	1132
2966	लगानीको	1131	4	1127
2968	पार्टीभित्र	1129	7	1122
2969	बढेपछि	1129	0	1129
2971	आन्दोलनका	1125	27	1098
2972	यू	1125	1	1124
2974	अनुसन्धानका	1122	4	1118
2978	आफूहरुले	1119	0	1119
2980	आपसी	1117	17	1100
2981	स्रोतको	1117	5	1112
2985	आफैंले	1115	2	1113
2987	घटनाका	1114	1	1113
2988	जनतामा	1113	6	1107
2996	भुसालले	1109	4	1105
2998	गरौं	1107	14	1093
2999	भरमा	1107	10	1097
3001	समावेशी	1106	4	1102
3004	व्यवस्थापनका	1104	12	1092
3007	तस्करी	1102	2	1100
3009	लागतमा	1100	4	1096
3012	स्थानीयवासी	1100	0	1100
3014	दरबन्दी	1099	10	1089
3016	माओवादीका	1098	13	1085
3018	बोलाइएको	1097	0	1097
3019	परिसरमा	1096	10	1086
3020	आक्रमणमा	1095	11	1084
3021	पदका	1095	5	1090
3023	लाखको	1094	9	1085
3024	गरिए	1094	36	1058
3027	छक्का	1094	0	1094
3037	भिडियोमा	1092	4	1088
3039	पारी	1090	30	1060
3040	देउवालाई	1089	3	1086
3041	सुधारका	1088	6	1082
3048	गीतको	1086	14	1072
3049	क्वारेन्टाइनमा	1086	0	1086
3056	कटौती	1082	9	1073
3057	नसकेपछि	1082	6	1076
3063	लिई	1079	20	1059
3066	नमूना	1078	6	1072
3068	प्रदर्शनमा	1077	6	1071
3071	मन्दिरको	1077	116	961
3073	भनेपछि	1076	13	1063
3075	विकेटको	1075	1	1074
3076	सुवेदी	1075	22	1053
3077	प्रचण्डलाई	1075	1	1074
3080	उन्मुक्ति	1073	0	1073
3084	विष्टले	1071	0	1071
3087	वर्षभित्र	1070	1	1069
3091	तिमी	1067	67	1000
3094	भएकाे	1067	0	1067
3095	बैशाख	1066	32	1034
3097	तयारीका	1065	1	1064
3101	सहयोगको	1063	18	1045
3103	रोजगारीको	1063	3	1060
3105	हाे	1062	2	1060
3107	पदबाट	1061	12	1049
3108	प्रश्नको	1061	6	1055
3111	क्लबले	1059	3	1056
3113	महाधिवेशनमा	1059	2	1057
3116	अनुसन्धानमा	1057	2	1055
3118	संस्करणको	1057	1	1056
3119	च्याम्पियन्स	1057	8	1049
3120	विश्वकपमा	1057	2	1055
3122	बैंकमा	1056	2	1054
3123	प्रतिस्पर्धामा	1056	2	1054
3125	र्	1055	29	1026
3127	आइसोलेसनमा	1054	0	1054
3136	उद्योगी	1051	0	1051
3137	विगतका	1050	7	1043
3143	चलाएको	1048	14	1034
3149	पक्षलाई	1047	12	1035
3151	कोषमा	1047	0	1047
3153	मुख्यमन्त्रीमा	1046	0	1046
3158	सुनसरी	1043	23	1020
